system:index;NDVI_mean;month;year
126_0;7076.788928309354;8.0;2010.0
127_0;4937.477063697304;9.0;2010.0
128_0;7254.247408578926;10.0;2010.0
129_0;7306.317307486796;11.0;2010.0
130_0;6811.641268959219;12.0;2010.0
131_0;5254.897629072352;1.0;2011.0
132_0;5086.172950194844;2.0;2011.0
133_0;7006.0944345893195;3.0;2011.0
134_0;5879.758607792422;4.0;2011.0
135_0;4239.832631601438;5.0;2011.0
136_0;5439.067006490125;6.0;2011.0
137_0;4098.421993773462;7.0;2011.0
138_0;5698.100771548864;8.0;2011.0
139_0;6478.577037337829;9.0;2011.0
140_0;8083.417947238298;10.0;2011.0
141_0;6871.012136043366;11.0;2011.0
142_0;6719.990236309093;12.0;2011.0
143_0;4999.922894982433;1.0;2012.0
144_0;4191.792946347781;2.0;2012.0
145_0;6202.102837561528;3.0;2012.0
146_0;5889.646669088882;4.0;2012.0
147_0;7394.509435978533;5.0;2012.0
148_0;5987.747714918739;6.0;2012.0
149_0;4218.569389528869;7.0;2012.0
150_0;3280.8467517293916;8.0;2012.0
151_0;7159.114823997084;9.0;2012.0
152_0;6986.019922773862;10.0;2012.0
153_0;6850.259598053665;11.0;2012.0
154_0;6701.779474520357;12.0;2012.0
155_0;5766.0532354470715;1.0;2013.0
156_0;4173.20716051493;2.0;2013.0
157_0;5816.146462487614;3.0;2013.0
158_0;7419.5625431903445;4.0;2013.0
159_0;7703.835370849265;5.0;2013.0
160_0;7648.273504456161;6.0;2013.0
161_0;6560.079602043204;7.0;2013.0
162_0;3789.491564968969;8.0;2013.0
163_0;6457.714680088617;9.0;2013.0
164_0;6439.787100956768;10.0;2013.0
165_0;7347.79918000669;11.0;2013.0
166_0;6854.610332200581;12.0;2013.0
167_0;5660.233851261332;1.0;2014.0
168_0;4055.6484251996476;2.0;2014.0
169_0;5678.635170659765;3.0;2014.0
170_0;7263.934735372263;4.0;2014.0
171_0;6809.77078658088;5.0;2014.0
172_0;6784.5774256057275;6.0;2014.0
173_0;3809.138722064299;7.0;2014.0
174_0;4363.7470345594;8.0;2014.0
175_0;5615.094936844126;9.0;2014.0
176_0;8049.815277095033;10.0;2014.0
177_0;6925.438767659054;11.0;2014.0
178_0;6315.638583142753;12.0;2014.0
179_0;4826.830184445055;1.0;2015.0
180_0;4564.452602819744;2.0;2015.0
181_0;5421.945955958304;3.0;2015.0
182_0;6463.032048130963;4.0;2015.0
183_0;6805.134233829884;5.0;2015.0
184_0;5833.765699915215;6.0;2015.0
185_0;7256.3306154580405;7.0;2015.0
186_0;3169.3351820584567;8.0;2015.0
187_0;4479.37809456638;9.0;2015.0
188_0;5985.125870040672;10.0;2015.0
189_0;7178.257795635718;11.0;2015.0
190_0;5898.676676141821;12.0;2015.0
191_0;4647.417003284239;1.0;2016.0
192_0;2859.9592496811892;2.0;2016.0
193_0;4711.828830850549;3.0;2016.0
194_0;8016.394647602343;4.0;2016.0
195_0;7393.927254981574;5.0;2016.0
196_0;5286.17515869114;6.0;2016.0
197_0;5819.437325012283;7.0;2016.0
198_0;4515.589340799465;8.0;2016.0
199_0;5742.240950508305;9.0;2016.0
200_0;7284.67867447476;10.0;2016.0
201_0;6851.037238097262;11.0;2016.0
202_0;5410.068431326444;12.0;2016.0
203_0;5591.44279282167;1.0;2017.0
204_0;4526.829187059634;2.0;2017.0
205_0;5928.627173765907;3.0;2017.0
206_0;5664.884093127296;4.0;2017.0
207_0;7188.338377253905;5.0;2017.0
208_0;6501.503376862078;6.0;2017.0
209_0;1696.9519652054944;7.0;2017.0
210_0;6773.836656764046;8.0;2017.0
211_0;7703.152037159725;9.0;2017.0
212_0;6708.402744234749;10.0;2017.0
213_0;7623.7692584439255;11.0;2017.0
214_0;5973.180095748992;12.0;2017.0
215_0;5026.7042894697415;1.0;2018.0
216_0;4361.87596799817;2.0;2018.0
217_0;5645.252566486416;3.0;2018.0
218_0;7167.095966288363;4.0;2018.0
219_0;6080.8715296330265;5.0;2018.0
220_0;6070.562322340712;6.0;2018.0
221_0;7672.321482257218;7.0;2018.0
222_0;6925.012720226252;8.0;2018.0
223_0;7074.628840824398;9.0;2018.0
224_0;8302.609972429409;10.0;2018.0
225_0;7469.116387754945;11.0;2018.0
226_0;6359.006857024791;12.0;2018.0
227_0;5742.601679882011;1.0;2019.0
228_0;4756.642789971997;2.0;2019.0
229_0;6705.343713265929;3.0;2019.0
230_0;6517.216774598008;4.0;2019.0
231_0;6877.589255309287;5.0;2019.0
232_0;5312.6276902690715;6.0;2019.0
233_0;5938.230944595233;7.0;2019.0
234_0;4729.435237627069;8.0;2019.0
235_0;4828.70548633225;9.0;2019.0
236_0;6351.938482691796;10.0;2019.0
237_0;7813.494688922603;11.0;2019.0
238_0;7176.302460692318;12.0;2019.0
239_0;5960.785059878737;1.0;2020.0
240_0;4260.08408671553;2.0;2020.0
241_0;6360.821457322583;3.0;2020.0
242_0;6796.364950451311;4.0;2020.0
243_0;7604.194586334386;5.0;2020.0
244_0;5382.194522216754;6.0;2020.0
245_0;5139.9601366418;7.0;2020.0
246_0;5556.489213989039;8.0;2020.0
247_0;6074.39428783118;9.0;2020.0
248_0;6932.684712218671;10.0;2020.0
249_0;6493.835901600791;11.0;2020.0
250_0;6732.658117648726;12.0;2020.0
251_0;5589.397283549544;1.0;2021.0
252_0;3655.4987853270304;2.0;2021.0
253_0;4562.741908710731;3.0;2021.0
254_0;6750.692976269343;4.0;2021.0
255_0;7458.842929605952;5.0;2021.0
256_0;8071.002115881927;6.0;2021.0
257_0;6845.948296251957;7.0;2021.0
258_0;4936.413840147601;8.0;2021.0
259_0;6738.0580513938385;9.0;2021.0
260_0;6849.23402936587;10.0;2021.0
261_0;6966.0804925659095;11.0;2021.0
262_0;7043.580773971077;12.0;2021.0
263_0;6158.998283072222;1.0;2022.0
264_0;4584.51976604187;2.0;2022.0
265_0;4345.2577920736285;3.0;2022.0
266_0;5638.525725419785;4.0;2022.0
267_0;7373.342060455794;5.0;2022.0
268_0;5834.782961807255;6.0;2022.0
269_0;7174.789893635962;7.0;2022.0
270_0;5473.816103500105;8.0;2022.0
271_0;5043.872754992265;9.0;2022.0
272_0;5358.829903039883;10.0;2022.0
273_0;8088.032058817234;11.0;2022.0
274_0;7073.621214387989;12.0;2022.0
275_0;5572.8248128121195;1.0;2023.0
276_0;4420.270070600637;2.0;2023.0
